zone,Minute,Result,X,Y,player,h_a,situation,shotType,domVSnondom,Opponent,playerAssist,typeOfAssist,sideOfAttack,PossesionWon,typeOfAttack,year,goals.x,goals.y,sideOfAttackGrouped,Team,Game,GK,net_x,net_y,PSxG
2,17,SAVED,114.59,50.53,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 4,,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.11404560400300999,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-10.58,10.08,0.01
2,33,MISSED,4.17,48.52,PLAYER 24,HOME,CORNER,RIGHTVOLLEY,DOMINANT,OPPONENT 3,,,RIGHT,OFFENSIVE,RESTART,2022,0,0.13891060486052312,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-0.97,11.94,0.01
2,48,BLOCKED,117.5,49.74,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 2,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.11616890500731109,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,8.39,2.02,0.9426389596394847
2,62,GOAL,4.07,34.54,PLAYER 18,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 1,KERN,CROSSONGROUND,LEFT,DEFENSIVE,POSSESSION,2022,1,0.48689975721286827,SIDE,TEAM,2022 - OPPONENT 1 - HOME,GK,-5.53,4.63,0.9073590213442675
2,58,BLOCKED,114.82,33.13,PLAYER 16,HOME,OPENPLAY,RIGHTFOOT,,OPPONENT 13,,CROSSONGROUND,RIGHT,MIDDLE,RESTART,2022,0,0.3525603999776128,SIDE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,-11.21,1.55,0.9594523316543736
2,34,BLOCKED,117.81,47.26,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 4,,,LEFT,DEFENSIVE,LONG BALL,2022,0,0.1475912259752615,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-10.57,8.34,0.01
2,107,SAVED,4.33,31.63,PLAYER 20,HOME,CORNER,RIGHTFOOT,DOMINANT,OPPONENT 14,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.2923707600044115,SIDE,TEAM,2022 - OPPONENT 14 - HOME,GK,14.77,9.99,0.01
2,76,MISSED,6.17,51.87,PLAYER 1,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 8,PARKER,CROSSONGROUND,RIGHT,OFFENSIVE,COUNTER,2022,0,0.10012278291583933,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,9.62,6.95,0.9579131096080211
3,37,MISSED,11.11,34.59,PLAYER 2,HOME,OPENPLAY,HEADER,*,OPPONENT 12,J. GRANT,CROSSINAIR,RIGHT,DEFENSIVE,POSSESSION,2022,0,0.20854270389205587,SIDE,TEAM,2022 - OPPONENT 12 - HOME,GK,-3.45,10.35,0.01
3,68,MISSED,112.69,46.56,PLAYER 16,AWAY,THROW-IN,HEADER,,OPPONENT 14,,THROW-IN,LEFT,OFFENSIVE,THROW-IN,2022,0,0.17005320858412898,SIDE,OPPONENT,2022 - OPPONENT 14 - AWAY,GK,-4.38,11.92,0.01
3,79,BLOCKED,13.98,46.19,PLAYER 8,AWAY,CORNER,LEFTVOLLEY,NONDOMINANT,OPPONENT 9,,,RIGHT,OFFENSIVE,RESTART,2022,0,0.11703660202861121,SIDE,TEAM,2022 - OPPONENT 9 - AWAY,GK,-2.68,5.33,0.8966698965103578
3,26,SAVED,6.78,42.5,PLAYER 6,HOME,CORNER,HEADER,,OPPONENT 8,KING,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.2810078527693897,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,0.38,0.29,0.9478096754228257
3,41,MISSED,11.78,43.55,PLAYER 12,AWAY,CORNER,HEADER,,OPPONENT 13,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.16539779944909241,SIDE,TEAM,2022 - OPPONENT 13 - AWAY,GK,14.13,0.24,0.01
3,29,MISSED,8.19,31.95,PLAYER 9,HOME,THROW-IN,HEADER,*,OPPONENT 1,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,THROW-IN,2022,0,0.2347598184406791,SIDE,TEAM,2022 - OPPONENT 1 - HOME,GK,2.59,2.75,0.893946826818321
3,60,BLOCKED,16.64,30.45,PLAYER 15,HOME,THROW-IN,LEFTVOLLEY,DOMINANT,OPPONENT 3,,,RIGHT,OFFENSIVE,THROW-IN,2022,0,0.10341446050791551,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,5.47,2.15,0.9247792247218447
3,15,BLOCKED,16.92,46.35,PLAYER 6,AWAY,OPENPLAY,RIGHTVOLLEY,DOMINANT,OPPONENT 5,ZEBRAK,OTHER,MIDDLE,MIDDLE,LONG BALL,2022,0,0.09252915417131055,MIDDLE,TEAM,2022 - OPPONENT 5 - AWAY,GK,13.46,10.93,0.01
3,88,MISSED,11.18,47.92,PLAYER 20,HOME,OPENPLAY,HEADER,,OPPONENT 6,,CROSSINAIR,LEFT,DEFENSIVE,RESTART,2022,0,0.12405239079336186,SIDE,TEAM,2022 - OPPONENT 6 - HOME,GK,10.33,0.49,0.9651402747961906
3,52,MISSED,6.74,32.14,PLAYER 24,AWAY,OPENPLAY,HEADER,,OPPONENT 4,W. SHAFFER,CROSSINAIR,MIDDLE,MIDDLE,RESTART,2022,0,0.27055974822067796,MIDDLE,TEAM,2022 - OPPONENT 4 - AWAY,GK,-6.56,1.91,0.9345446603460524
3,48,SAVED,109.33,41.04,PLAYER 16,AWAY,OPENPLAY,HEADER,,OPPONENT 4,,CROSSINAIR,LEFT,OFFENSIVE,RESTART,2022,0,0.212581010479083,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,14.85,5.52,0.01
3,44,MISSED,8.56,42.35,PLAYER 19,HOME,FREEKICK,HEADER,*,OPPONENT 12,GERVERS,LONG BALL,MIDDLE,MIDDLE,RESTART,2022,0,0.24169938676745176,MIDDLE,TEAM,2022 - OPPONENT 12 - HOME,GK,8.9,10.2,0.01
3,33,SAVED,9.1,45.88,PLAYER 10,HOME,CORNER,RIGHTVOLLEY,DOMINANT,OPPONENT 3,,,RIGHT,OFFENSIVE,RESTART,2022,0,0.16747173232730173,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-2.07,7.87,0.9514715997524987
3,19,MISSED,113.88,45.81,PLAYER 16,HOME,FREEKICK,HEADER,,OPPONENT 13,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.19300425229091728,SIDE,OPPONENT,2022 - OPPONENT 13 - HOME,GK,-11.22,3.4,0.9491041865120847
3,30,MISSED,7.67,43.75,PLAYER 24,HOME,FREEKICK,HEADER,,OPPONENT 8,FIRESTONE,CROSSINAIR,LEFT,MIDDLE,RESTART,2022,0,0.2279595720334166,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,-13.37,6.73,0.01
3,4,GOAL,14.6,48,PLAYER 17,AWAY,FREEKICK,HEADER,*,OPPONENT 5,W. SHAFFER,CROSSINAIR,LEFT,MIDDLE,RESTART,2022,1,0.0994844775391007,SIDE,TEAM,2022 - OPPONENT 5 - AWAY,GK,-15.85,1.63,0.01
3,19,GOAL,112.79,40.73,PLAYER 16,HOME,CORNER,HEADER,,OPPONENT 7,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,1,0.3185975981243513,SIDE,OPPONENT,2022 - OPPONENT 7 - HOME,GK,15.25,4.52,0.01
3,12,MISSED,6.75,34.21,PLAYER 20,HOME,OPENPLAY,HEADER,*,OPPONENT 7,SUNDERMANN,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.33484343078315904,SIDE,TEAM,2022 - OPPONENT 7 - HOME,GK,2.08,11.57,0.01
3,72,MISSED,109.6,42.06,PLAYER 16,HOME,CORNER,HEADER,,OPPONENT 10,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.20642198440990614,SIDE,OPPONENT,2022 - OPPONENT 10 - HOME,GK,-5.66,4.57,0.9080297368908815
3,105,MISSED,112.39,46.87,PLAYER 16,AWAY,OPENPLAY,HEADER,,OPPONENT 14,,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.16259060762293304,SIDE,OPPONENT,2022 - OPPONENT 14 - AWAY,GK,4.28,5.86,0.9183733280654347
3,65,GOAL,7.07,41.18,PLAYER 18,HOME,OPENPLAY,HEADER,*,OPPONENT 3,SOMMERFELD,OTHER,MIDDLE,OFFENSIVE,DEFLECTED SHOT,2022,1,0.31189421452383875,MIDDLE,TEAM,2022 - OPPONENT 3 - HOME,GK,1.58,9.15,0.01
3,75,MISSED,9.82,40.88,PLAYER 19,HOME,CORNER,HEADER,*,OPPONENT 3,PARKER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.23472940213912288,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-6.93,6.53,0.9426258554558918
3,78,MISSED,12.14,43.23,PLAYER 19,HOME,FREEKICK,HEADER,*,OPPONENT 3,KING,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.1634151528764978,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-9.33,0.51,0.9621712038689277
3,84,MISSED,15.7,43.6,PLAYER 3,AWAY,OPENPLAY,RIGHTVOLLEY,DOMINANT,OPPONENT 2,KERN,CROSSINAIR,RIGHT,MIDDLE,LONG BALL,2022,0,0.11701118854641737,SIDE,TEAM,2022 - OPPONENT 2 - AWAY,GK,8.11,1.02,0.9529440494565619
3,78,MISSED,101.66,45.06,PLAYER 16,AWAY,CORNER,LEFTVOLLEY,,OPPONENT 2,,,MIDDLE,OFFENSIVE,RESTART,2022,0,0.08769240709086101,MIDDLE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,9.76,3.08,0.941767774285025
3,77,SAVED,104.81,42.2,PLAYER 16,HOME,FREEKICK,HEADER,,OPPONENT 7,,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.12975404095395468,SIDE,OPPONENT,2022 - OPPONENT 7 - HOME,GK,-13.53,3.84,0.01
3,88,MISSED,108.45,43.6,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 2,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.16818495300674946,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,-2.57,9.55,0.01
3,106,BLOCKED,9.1,30.72,PLAYER 24,HOME,CORNER,HEADER,,OPPONENT 6,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.19466367511802007,SIDE,TEAM,2022 - OPPONENT 6 - HOME,GK,8.42,5.74,0.9402397405297516
3,70,MISSED,8.77,37.03,PLAYER 3,HOME,CORNER,HEADER,,OPPONENT 8,MARSHALL,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.29364199372082816,SIDE,TEAM,2022 - OPPONENT 8 - HOME,GK,1.09,6.5,0.9230261982519408
3,22,SAVED,7.07,38.09,PLAYER 24,HOME,CORNER,HEADER,*,OPPONENT 7,W. SHAFFER,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.3688186913842648,SIDE,TEAM,2022 - OPPONENT 7 - HOME,GK,10.31,9.31,0.01
3,20,SAVED,17.56,41.72,PLAYER 9,HOME,CORNER,HEADER,*,OPPONENT 1,OSCHNER,CROSSINAIR,MIDDLE,OFFENSIVE,RESTART,2022,0,0.10579267045610741,MIDDLE,TEAM,2022 - OPPONENT 1 - HOME,GK,-15.09,3.94,0.01
3,60,SAVED,109.58,49.41,PLAYER 16,AWAY,CORNER,HEADER,,OPPONENT 5,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.11344704171826134,SIDE,OPPONENT,2022 - OPPONENT 5 - AWAY,GK,14.71,6.87,0.01
3,29,BLOCKED,8.43,43.21,PLAYER 8,AWAY,OPENPLAY,HEADER,,OPPONENT 2,PARKER,CROSSINAIR,RIGHT,OFFENSIVE,COUNTER,2022,0,0.226586125205981,SIDE,TEAM,2022 - OPPONENT 2 - AWAY,GK,-17.37,10.33,0.01
3,75,BLOCKED,110.5,46.38,PLAYER 16,AWAY,OPENPLAY,RIGHTVOLLEY,,OPPONENT 4,,CROSSINAIR,RIGHT,OFFENSIVE,RESTART,2022,0,0.15611656108614688,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-16.74,6.77,0.01
3,109,MISSED,9.4,44.15,PLAYER 22,HOME,FREEKICK,HEADER,,OPPONENT 14,,CROSSINAIR,RIGHT,MIDDLE,RESTART,2022,0,0.1925225354253891,SIDE,TEAM,2022 - OPPONENT 14 - HOME,GK,2.75,10.95,0.01
3,78,SAVED,107.58,39.85,PLAYER 16,AWAY,PENALTYKICK,RIGHTFOOT,,OPPONENT 5,,,LEFT,MIDDLE,PENALTY,2022,0,0.18458491536152566,SIDE,OPPONENT,2022 - OPPONENT 5 - AWAY,GK,-3.3,11.36,0.01
3,54,GOAL,102.9,33.62,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 4,,LONG BALL,RIGHT,MIDDLE,LONG BALL,2022,1,0.1114341426816252,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-2.47,4.72,0.8789804649964864
3,19,MISSED,13.88,43.67,PLAYER 21,HOME,OPENPLAY,RIGHTFOOT,DOMINANT,OPPONENT 3,KERN,CROSSONGROUND,RIGHT,DEFENSIVE,POSSESSION,2022,0,0.13676100588242546,SIDE,TEAM,2022 - OPPONENT 3 - HOME,GK,-11.58,1.05,0.9644414927781593
3,10,SAVED,107.71,37.8,PLAYER 16,HOME,OPENPLAY,RIGHTFOOT,,OPPONENT 3,,SHORT PASS,MIDDLE,OFFENSIVE,COUNTER,2022,0,0.19330112610264097,MIDDLE,OPPONENT,2022 - OPPONENT 3 - HOME,GK,12.15,6.28,0.01
3,74,MISSED,100.4,46.3,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 2,,SHORT PASS,LEFT,MIDDLE,POSSESSION,2022,0,0.07496803823149886,SIDE,OPPONENT,2022 - OPPONENT 2 - AWAY,GK,10.02,5.01,0.9438149466903979
3,88,GOAL,111.38,43.11,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 4,,CROSSONGROUND,MIDDLE,DEFENSIVE,POSSESSION,2022,1,0.2249974274659247,MIDDLE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,14.32,0.93,0.01
3,90,GOAL,103.49,47.26,PLAYER 16,AWAY,OPENPLAY,RIGHTFOOT,,OPPONENT 4,,,LEFT,MIDDLE,COUNTER,2022,1,0.09084327876815315,SIDE,OPPONENT,2022 - OPPONENT 4 - AWAY,GK,-6.17,0.3,0.956128007953836
