"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"186",186,6,46,"SAVED",23.48,30.75,"PLAYER 22","AWAY","THROW-IN","LEFTVOLLEY","DOMINANT","OPPONENT 9","","","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.0584605302916512,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",0.91,0.63,0.916449500224738,NA
"187",187,6,47,"GOAL",21.68,45.17,"PLAYER 12","AWAY","OPENPLAY","RIGHTVOLLEY","DOMINANT","OPPONENT 2","","","MIDDLE","OFFENSIVE","DEFLECTED PASS",2022,1,0.066087344273245,"MIDDLE","TEAM","2022 - OPPONENT 2 - AWAY","GK",-11.52,5.35,0.01,NA
"188",188,6,83,"MISSED",99.56,51.48,"PLAYER 16","AWAY","OPENPLAY","LEFTVOLLEY","","OPPONENT 2","","CROSSINAIR","RIGHT","OFFENSIVE","POSSESSION",2022,0,0.0541467407227839,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-1.58,11.56,0.01,NA
"189",189,6,30,"MISSED",25.07,41.08,"PLAYER 9","AWAY","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 2","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.0545003408343459,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",-4.4,11.16,0.91775816694367,NA
"190",190,6,90,"MISSED",98.14,56.74,"PLAYER 16","HOME","THROW-IN","RIGHTVOLLEY","","OPPONENT 3","","","LEFT","OFFENSIVE","THROW-IN",2022,0,0.036225801647449,"SIDE","OPPONENT","2022 - OPPONENT 3 - HOME","GK",5.18,11.2,0.947945628231243,NA
"191",191,6,25,"MISSED",99.16,54.54,"PLAYER 16","HOME","OPENPLAY","RIGHTVOLLEY","","OPPONENT 11","","OTHER","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.0440953792297109,"SIDE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",16.34,7.51,0.951887736230341,NA
"192",192,6,75,"SAVED",23.07,40.33,"PLAYER 13","HOME","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 8","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.0657903699736893,"SIDE","TEAM","2022 - OPPONENT 8 - HOME","GK",4.21,2.63,0.959090943870143,NA
"193",193,6,86,"MISSED",100.21,26.26,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 2","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0657356379863146,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",12.64,8.68,0.01,NA
"194",194,6,58,"SAVED",92.4,29.41,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 5","","","MIDDLE","OFFENSIVE","POOR CLEARANCE",2022,0,0.0398487598517175,"MIDDLE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-5.5,0.29,0.954459846144674,NA
"195",195,6,68,"MISSED",25.2,47.77,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.0451604973056277,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-5.05,8.14,0.01,NA
"196",196,6,70,"SAVED",100.53,29.25,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 2","","CROSSINAIR","LEFT","MIDDLE","COUNTER",2022,0,0.0775833688454094,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",2.1,1.93,0.01,NA
"197",197,6,36,"BLOCKED",22.73,27.96,"PLAYER 3","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 3","KING","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0565584553764439,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.01,NA
"198",198,6,52,"MISSED",21.25,24.62,"PLAYER 15","HOME","OPENPLAY","RIGHTFOOT","NONDOMINANT","OPPONENT 1","","","LEFT","DEFENSIVE","LONG BALL",2022,0,0.0543031158095482,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",-17.05,7.95,0.01,NA
"199",199,6,91,"SAVED",33.24,45.66,"PLAYER 9","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","","SHORT PASS","MIDDLE","MIDDLE","RESTART",2022,0,0.024923223230167,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-8.36,6.49,0.924581633648451,NA
"200",200,6,22,"MISSED",23.45,27.96,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 7","SOMMERFELD","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0533865090707603,"MIDDLE","TEAM","2022 - OPPONENT 7 - HOME","GK",-10.22,11.12,0.01,NA
"201",201,6,35,"MISSED",27.13,63.61,"PLAYER 9","HOME","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 6","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0174995419989577,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",-2.22,9.41,0.01,NA
"202",202,6,59,"SAVED",27.81,31.63,"PLAYER 11","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 3","GERVERS","SHORT PASS","MIDDLE","MIDDLE","POSSESSION",2022,0,0.0412831799393271,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",0.41,2.29,0.01,NA
"203",203,6,24,"GOAL",19.24,33.88,"PLAYER 20","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 5","DUGGAN","SHORT PASS","LEFT","OFFENSIVE","POSSESSION",2022,1,0.091955066355292,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",2.77,6.26,0.929741279292148,NA
"204",204,6,74,"BLOCKED",20.13,30.87,"PLAYER 18","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 6","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.0781050122536167,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",NA,NA,0.01,NA
"205",205,6,48,"SAVED",25.05,55.92,"PLAYER 22","AWAY","FREEKICK","LEFTFOOT","DOMINANT","OPPONENT 13","","","RIGHT","OFFENSIVE","RESTART",2022,0,0.0311228487430022,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",-11.59,3.81,0.01,NA
"206",206,6,33,"SAVED",19.97,39.27,"PLAYER 23","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 11","DUGGAN","SHORT PASS","RIGHT","MIDDLE","POSSESSION",2022,0,0.0884356641585947,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",6.06,1.54,0.01,NA
"207",207,6,8,"BLOCKED",21.06,63.57,"PLAYER 10","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 4","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0241298382094941,"SIDE","TEAM","2022 - OPPONENT 4 - AWAY","GK",NA,NA,0.904608229615312,NA
"208",208,6,46,"SAVED",19.31,54.97,"PLAYER 10","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 4","SOMMERFELD","SHORT PASS","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0470602682240667,"SIDE","TEAM","2022 - OPPONENT 4 - AWAY","GK",-8.5,5.4,0.01,NA
