"","X.1","zone","Minute","Result","X","Y","player","h_a","situation","shotType","domVSnondom","Opponent","playerAssist","typeOfAssist","sideOfAttack","PossesionWon","typeOfAttack","year","goals.x","goals.y","sideOfAttackGrouped","Team","Game","GK","net_x","net_y","PSxG","datetime_added"
"106",106,3,65,"MISSED",102.55,32.13,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 9","","","MIDDLE","OFFENSIVE","POOR CLEARANCE",2022,0,0.103095701235191,"MIDDLE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",7.37,8.04,0.01,NA
"107",107,3,77,"SAVED",14.17,36.76,"PLAYER 9","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","DUGGAN","SHORT PASS","MIDDLE","OFFENSIVE","RESTART",2022,0,0.157570129949091,"MIDDLE","TEAM","2022 - OPPONENT 6 - HOME","GK",-2,1.44,0.93829988572614,NA
"108",108,3,106,"GOAL",107.77,36.15,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 14","","SHORT PASS","LEFT","DEFENSIVE","COUNTER",2022,1,0.192562689502014,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",3.29,1.48,0.01,NA
"109",109,3,38,"MISSED",7.21,32.66,"PLAYER 13","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 10","MARSHALL","CROSSONGROUND","RIGHT","MIDDLE","COUNTER",2022,0,0.274888892554894,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",-9.36,10.25,0.01,NA
"110",110,3,14,"MISSED",12.28,33.88,"PLAYER 20","AWAY","FREEKICK","RIGHTFOOT","DOMINANT","OPPONENT 5","ZEBRAK","SHORT PASS","MIDDLE","MIDDLE","RESTART",2022,0,0.179369060951899,"MIDDLE","TEAM","2022 - OPPONENT 5 - AWAY","GK",-13.77,10,0.01,NA
"111",111,3,68,"BLOCKED",103.01,36.1,"PLAYER 16","AWAY","THROW-IN","RIGHTFOOT","","OPPONENT 9","","SHORT PASS","LEFT","OFFENSIVE","THROW-IN",2022,0,0.117917680692279,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",NA,NA,0.94976434260164,NA
"112",112,3,6,"GOAL",12.23,35.7,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","KING","SHORT PASS","RIGHT","DEFENSIVE","RESTART",2022,1,0.190932190755346,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-3.48,2.2,0.01,NA
"113",113,3,11,"GOAL",11.41,50.23,"PLAYER 20","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 4","SOMMERFELD","CROSSONGROUND","RIGHT","MIDDLE","LONG BALL",2022,1,0.101138720016044,"SIDE","TEAM","2022 - OPPONENT 4 - AWAY","GK",-6.42,1.72,0.948177084809158,NA
"114",114,3,52,"GOAL",110.35,35.54,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 1","","THROUGH BALL","RIGHT","DEFENSIVE","COUNTER",2022,1,0.254673876495191,"SIDE","OPPONENT","2022 - OPPONENT 1 - HOME","GK",10.3,7.32,0.01,NA
"115",115,3,53,"GOAL",7.03,39.16,"PLAYER 9","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","KERN","CROSSONGROUND","LEFT","MIDDLE","COUNTER",2022,1,0.359196991532725,"SIDE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-5.01,2.71,0.885202957681371,NA
"116",116,3,73,"BLOCKED",10.4,50.58,"PLAYER 3","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","KING","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.102522070503519,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.01,NA
"117",117,3,68,"BLOCKED",10.84,42.5,"PLAYER 3","HOME","THROW-IN","LEFTFOOT","NONDOMINANT","OPPONENT 3","","","LEFT","OFFENSIVE","THROW-IN",2022,0,0.192493388234246,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.01,NA
"118",118,3,75,"GOAL",113.13,48.15,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 4","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,1,0.144540908031679,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-6.14,4.13,0.01,NA
"119",119,4,83,"BLOCKED",109.34,25.56,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 9","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.111936642089004,"SIDE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",NA,NA,0.01,NA
"120",120,4,2,"SAVED",109.16,53.22,"PLAYER 16","HOME","FREEKICK","HEADER","","OPPONENT 3","","LONG BALL","MIDDLE","MIDDLE","RESTART",2022,0,0.0805387905285918,"MIDDLE","OPPONENT","2022 - OPPONENT 3 - HOME","GK",9.95,3.5,0.01,NA
"121",121,4,71,"MISSED",0.24,30.23,"PLAYER 7","HOME","FREEKICK","HEADER","*","OPPONENT 1","MARSHALL","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.151928906258853,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",-9.83,9.4,0.927543604479998,NA
"122",122,4,85,"SAVED",8.81,58.07,"PLAYER 18","HOME","FREEKICK","HEADER","*","OPPONENT 3","SUNDERMANN","LONG BALL","MIDDLE","OFFENSIVE","RESTART",2022,0,0.0564168355373639,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",8.55,3.63,0.94347313369263,NA
"123",123,4,3,"BLOCKED",103,22.27,"PLAYER 16","AWAY","THROW-IN","RIGHTVOLLEY","","OPPONENT 14","","THROW-IN","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.0623715562033688,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",NA,NA,0.931863648483156,NA
"124",124,4,47,"SAVED",6.45,28.29,"PLAYER 20","AWAY","THROW-IN","RIGHTVOLLEY","DOMINANT","OPPONENT 4","W. SHAFFER","CROSSINAIR","LEFT","OFFENSIVE","THROW-IN",2022,0,0.171510296761412,"SIDE","TEAM","2022 - OPPONENT 4 - AWAY","GK",0.73,7.54,0.01,NA
"125",125,4,86,"SAVED",101.57,28.13,"PLAYER 16","HOME","OPENPLAY","RIGHTVOLLEY","","OPPONENT 8","","OTHER","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.080090506344197,"MIDDLE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",-0.88,7.41,0.949978013439752,NA
"126",126,4,52,"MISSED",102.03,18.8,"PLAYER 16","AWAY","THROW-IN","LEFTVOLLEY","","OPPONENT 4","","","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.0467024781026955,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-14.75,11.6,0.928540517783887,NA
"127",127,4,65,"MISSED",6.49,28.65,"PLAYER 22","HOME","OPENPLAY","LEFTVOLLEY","DOMINANT","OPPONENT 1","","","LEFT","OFFENSIVE","DEFLECTED SHOT",2022,0,0.178819465101191,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",4.64,8.48,0.01,NA
"128",128,4,26,"MISSED",15.76,29.18,"PLAYER 8","HOME","THROW-IN","LEFTVOLLEY","NONDOMINANT","OPPONENT 12","","","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.104279194682141,"SIDE","TEAM","2022 - OPPONENT 12 - HOME","GK",1.21,11.98,0.01,NA
"129",129,4,79,"GOAL",102.17,61.77,"PLAYER 16","HOME","CORNER","RIGHTVOLLEY","","OPPONENT 8","","SHORT PASS","LEFT","OFFENSIVE","RESTART",2022,1,0.0317150724633056,"SIDE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",0.59,1.22,0.945629673376852,NA
"130",130,4,90,"SAVED",106.83,27.99,"PLAYER 16","AWAY","OPENPLAY","RIGHTVOLLEY","","OPPONENT 2","","","LEFT","OFFENSIVE","POOR CLEARANCE",2022,0,0.117398604549142,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",-8.37,1.82,0.943306308233181,NA
"131",131,4,43,"BLOCKED",8.75,54,"PLAYER 22","AWAY","OPENPLAY","HEADER","","OPPONENT 2","LOCKE","CROSSINAIR","RIGHT","MIDDLE","RESTART",2022,0,0.0797790035470563,"SIDE","TEAM","2022 - OPPONENT 2 - AWAY","GK",NA,NA,0.919112523149147,NA
"132",132,4,2,"SAVED",9.66,26.16,"PLAYER 8","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 1","SOMMERFELD","SHORT PASS","RIGHT","MIDDLE","COUNTER",2022,0,0.123371134814811,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",-0.56,5.36,0.01,NA
"133",133,4,13,"MISSED",102.06,52.48,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 11","","LONG BALL","MIDDLE","DEFENSIVE","LONG BALL",2022,0,0.059942907675513,"MIDDLE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",-5.62,9.64,0.01,NA
"134",134,4,19,"BLOCKED",8.19,26.78,"PLAYER 8","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 1","DUGGAN","THROUGH BALL","MIDDLE","MIDDLE","COUNTER",2022,0,0.138462926616963,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",NA,NA,0.929843320250341,NA
"135",135,4,67,"SAVED",109.58,27.29,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 5","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.131665035400175,"MIDDLE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",9.48,5.5,0.01,NA
"136",136,4,74,"BLOCKED",106.1,24.7,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 5","","CROSSINAIR","LEFT","MIDDLE","POSSESSION",2022,0,0.0883909428699514,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",NA,NA,0.941037200038472,NA
"137",137,4,11,"MISSED",105.6,20.82,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 2","","LONG BALL","RIGHT","DEFENSIVE","LONG BALL",2022,0,0.0645138231460398,"SIDE","OPPONENT","2022 - OPPONENT 2 - AWAY","GK",0.25,10.36,0.01,NA
"138",138,4,11,"SAVED",110.5,54.09,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 4","","CROSSINAIR","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0778130497909582,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-6.33,3.69,0.863449779719361,NA
"139",139,4,31,"BLOCKED",10.46,25.48,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","MARSHALL","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.11216321513165,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",NA,NA,0.01,NA
"140",140,4,63,"BLOCKED",102.49,63.06,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 3","","SHORT PASS","LEFT","DEFENSIVE","LONG BALL",2022,0,0.029260939663092,"SIDE","OPPONENT","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.948008546273395,NA
"141",141,4,7,"MISSED",107.62,53.96,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 14","","SHORT PASS","MIDDLE","MIDDLE","COUNTER",2022,0,0.071621322978538,"MIDDLE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",5.37,11.11,0.01,NA
"142",142,4,17,"BLOCKED",104.66,27.1,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","CROSSINAIR","RIGHT","MIDDLE","COUNTER",2022,0,0.0951434588111686,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",NA,NA,0.01,NA
"143",143,4,59,"SAVED",14.88,55.82,"PLAYER 20","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 9","KERN","THROUGH BALL","MIDDLE","OFFENSIVE","COUNTER",2022,0,0.0558168369103468,"MIDDLE","TEAM","2022 - OPPONENT 9 - AWAY","GK",-2.67,2.17,0.01,NA
"144",144,4,34,"SAVED",110.5,54.09,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","SHORT PASS","LEFT","DEFENSIVE","LONG BALL",2022,0,0.0778130497909582,"SIDE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",-1.84,4.9,0.954391782919487,NA
"145",145,4,57,"SAVED",17.56,26.06,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 1","KING","SHORT PASS","MIDDLE","DEFENSIVE","COUNTER",2022,0,0.0764180917014009,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",-5.68,1.39,0.951728603496014,NA
"146",146,4,15,"MISSED",15.21,28.91,"PLAYER 20","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 14","","","LEFT","MIDDLE","RESTART",2022,0,0.107222923604842,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-15.61,10.95,0.01,NA
"147",147,4,65,"BLOCKED",18.13,27.06,"PLAYER 22","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 1","KERN","CROSSONGROUND","LEFT","DEFENSIVE","POSSESSION",2022,0,0.077546762551105,"SIDE","TEAM","2022 - OPPONENT 1 - HOME","GK",NA,NA,0.01,NA
"148",148,4,80,"BLOCKED",8.65,27.66,"PLAYER 20","AWAY","THROW-IN","LEFTFOOT","NONDOMINANT","OPPONENT 13","GERVERS","THROW-IN","LEFT","OFFENSIVE","RESTART",2022,0,0.148539949643394,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",NA,NA,0.01,NA
"149",149,4,43,"BLOCKED",12.58,53.37,"PLAYER 11","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 10","KING","SHORT PASS","MIDDLE","DEFENSIVE","COUNTER",2022,0,0.0744622810714477,"MIDDLE","TEAM","2022 - OPPONENT 10 - HOME","GK",NA,NA,0.01,NA
"150",150,4,67,"SAVED",109.92,23.54,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 4","","SHORT PASS","MIDDLE","DEFENSIVE","POSSESSION",2022,0,0.0960793166972585,"MIDDLE","OPPONENT","2022 - OPPONENT 4 - AWAY","GK",2.39,5.25,0.01,NA
"151",151,4,60,"MISSED",103,59.84,"PLAYER 16","AWAY","CORNER","RIGHTFOOT","","OPPONENT 14","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.0378120165164993,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",13.84,1.59,0.895302928587775,NA
"152",152,4,56,"SAVED",11.56,62.62,"PLAYER 20","HOME","THROW-IN","RIGHTFOOT","DOMINANT","OPPONENT 10","LOCKE","THROUGH BALL","RIGHT","OFFENSIVE","THROW-IN",2022,0,0.0368024717461039,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",-5.64,3.35,0.01,NA
"153",153,4,80,"MISSED",12.68,54.11,"PLAYER 23","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 6","","OTHER","RIGHT","MIDDLE","RESTART",2022,0,0.069927898669445,"SIDE","TEAM","2022 - OPPONENT 6 - HOME","GK",-10.34,11.24,0.01,NA
"154",154,4,16,"BLOCKED",111.65,58.78,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 13","","LONG BALL","MIDDLE","DEFENSIVE","LONG BALL",2022,0,0.0535840087554973,"MIDDLE","OPPONENT","2022 - OPPONENT 13 - HOME","GK",NA,NA,0.01,NA
"155",155,4,82,"BLOCKED",105.4,26.59,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 12","","CROSSONGROUND","LEFT","MIDDLE","LONG BALL",2022,0,0.0967858055159861,"SIDE","OPPONENT","2022 - OPPONENT 12 - HOME","GK",NA,NA,0.01,NA
"156",156,4,14,"SAVED",103.2,54.56,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 8","","","LEFT","MIDDLE","COUNTER",2022,0,0.0556462399172383,"SIDE","OPPONENT","2022 - OPPONENT 8 - HOME","GK",-5.91,7.72,0.942538559690435,NA
"157",157,4,70,"SAVED",106.78,17.76,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 9","","THROUGH BALL","MIDDLE","MIDDLE","COUNTER",2022,0,0.0535537724535371,"MIDDLE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",7,3.65,0.947440576782931,NA
"158",158,4,22,"MISSED",17.3,24.23,"PLAYER 22","HOME","OPENPLAY","LEFTFOOT","DOMINANT","OPPONENT 14","","SHORT PASS","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.0695830219724733,"SIDE","TEAM","2022 - OPPONENT 14 - HOME","GK",-5.04,9.66,0.01,NA
"159",159,4,11,"SAVED",13.45,19.88,"PLAYER 9","HOME","CORNER","RIGHTFOOT","DOMINANT","OPPONENT 11","GERVERS","SHORT PASS","RIGHT","OFFENSIVE","RESTART",2022,0,0.0626071323662114,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",-2.29,4.45,0.01,NA
"160",160,4,21,"GOAL",112.37,52.94,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 5","","THROUGH BALL","MIDDLE","DEFENSIVE","COUNTER",2022,1,0.0894178442946804,"MIDDLE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-0.03,6.07,0.890870822287737,NA
"161",161,4,42,"SAVED",107.28,27.96,"PLAYER 16","HOME","OPENPLAY","RIGHTFOOT","","OPPONENT 7","","THROUGH BALL","MIDDLE","MIDDLE","COUNTER",2022,0,0.120789556449414,"MIDDLE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",-0.1,3.52,0.945996347188721,NA
"162",162,4,69,"SAVED",17.59,53.5,"PLAYER 20","AWAY","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 13","KING","SHORT PASS","RIGHT","MIDDLE","RESTART",2022,0,0.0572498069815847,"SIDE","TEAM","2022 - OPPONENT 13 - AWAY","GK",1.49,2.63,0.963267751364085,NA
"163",163,4,65,"SAVED",12.14,27.37,"PLAYER 14","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","PARKER","SHORT PASS","LEFT","MIDDLE","POSSESSION",2022,0,0.119960115397747,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",-3.96,5.76,0.01,NA
"164",164,4,84,"SAVED",105.98,52.75,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 14","","SHORT PASS","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0731622437585624,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",-8.47,3.24,0.87915472093216,NA
"165",165,4,58,"GOAL",7.79,29.78,"PLAYER 21","HOME","OPENPLAY","LEFTFOOT","NONDOMINANT","OPPONENT 8","W. SHAFFER","SHORT PASS","MIDDLE","OFFENSIVE","COUNTER",2022,1,0.19294339973597,"MIDDLE","TEAM","2022 - OPPONENT 8 - HOME","GK",4.62,2.85,0.916988403758976,NA
"166",166,4,9,"MISSED",104.64,60.14,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 6","","","LEFT","OFFENSIVE","COUNTER",2022,0,0.0395723190876802,"SIDE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",8.65,10.58,0.01,NA
"167",167,4,52,"GOAL",9.1,27.37,"PLAYER 8","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 11","PARKER","THROUGH BALL","LEFT","DEFENSIVE","POSSESSION",2022,1,0.141562211885592,"SIDE","TEAM","2022 - OPPONENT 11 - HOME","GK",5.28,4.28,0.01,NA
"168",168,4,3,"SAVED",12,55.57,"PLAYER 21","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 10","PARKER","SHORT PASS","LEFT","MIDDLE","COUNTER",2022,0,0.0638316349424732,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",3.78,5.51,0.856096597840305,NA
"169",169,5,66,"SAVED",5.91,55.13,"PLAYER 18","HOME","OPENPLAY","HEADER","*","OPPONENT 7","GERVERS","LONG BALL","MIDDLE","MIDDLE","LONG BALL",2022,0,0.0746997095733059,"MIDDLE","TEAM","2022 - OPPONENT 7 - HOME","GK",-4.9,3.5,0.01,NA
"170",170,5,31,"MISSED",113.59,57.28,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 14","","SHORT PASS","MIDDLE","MIDDLE","RESTART",2022,0,0.0620152467758511,"MIDDLE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",-3.16,8.48,0.01,NA
"171",171,5,92,"MISSED",118.06,57.43,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 6","","SHORT PASS","RIGHT","DEFENSIVE","RESTART",2022,0,0.0598845565378327,"SIDE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",11.59,9.67,0.909206016990815,NA
"172",172,5,35,"SAVED",115.53,26.01,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 9","","THROUGH BALL","MIDDLE","MIDDLE","COUNTER",2022,0,0.132645636888099,"MIDDLE","OPPONENT","2022 - OPPONENT 9 - AWAY","GK",11.69,2.83,0.01,NA
"173",173,5,86,"MISSED",114.23,52.47,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 5","","CROSSONGROUND","LEFT","MIDDLE","POSSESSION",2022,0,0.0947688539689611,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",9.07,10.4,0.960641173717303,NA
"174",174,5,82,"MISSED",113.29,60.29,"PLAYER 16","AWAY","OPENPLAY","LEFTFOOT","","OPPONENT 6","","SHORT PASS","RIGHT","DEFENSIVE","RESTART",2022,0,0.0481771000097739,"SIDE","OPPONENT","2022 - OPPONENT 6 - AWAY","GK",10.49,8.02,0.01,NA
"175",175,5,51,"SAVED",5.47,51.9,"PLAYER 20","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","SOMMERFELD","CROSSONGROUND","RIGHT","DEFENSIVE","POSSESSION",2022,0,0.0999277417188049,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",-2.89,5.48,0.01,NA
"176",176,5,32,"MISSED",4.31,27.96,"PLAYER 21","HOME","OPENPLAY","RIGHTFOOT","DOMINANT","OPPONENT 3","","","LEFT","OFFENSIVE","COUNTER",2022,0,0.166050476210001,"SIDE","TEAM","2022 - OPPONENT 3 - HOME","GK",-5.84,8.27,0.01,NA
"177",177,5,54,"MISSED",115.4,52.78,"PLAYER 16","HOME","OPENPLAY","LEFTFOOT","","OPPONENT 7","","SHORT PASS","LEFT","OFFENSIVE","COUNTER",2022,0,0.0917053699172838,"SIDE","OPPONENT","2022 - OPPONENT 7 - HOME","GK",-8.47,8.31,0.01,NA
"178",178,5,28,"MISSED",113.88,29.21,"PLAYER 16","AWAY","OPENPLAY","RIGHTFOOT","","OPPONENT 14","","SHORT PASS","LEFT","DEFENSIVE","RESTART",2022,0,0.193493017012837,"SIDE","OPPONENT","2022 - OPPONENT 14 - AWAY","GK",16.52,4.64,0.01,NA
"179",179,6,37,"MISSED",99.3,49.25,"PLAYER 16","HOME","CORNER","LEFTVOLLEY","","OPPONENT 11","","","LEFT","OFFENSIVE","RESTART",2022,0,0.0598851915497337,"SIDE","OPPONENT","2022 - OPPONENT 11 - HOME","GK",-1.56,11.53,0.01,NA
"180",180,6,86,"MISSED",98.44,58.12,"PLAYER 16","AWAY","CORNER","RIGHTVOLLEY","","OPPONENT 5","","CROSSINAIR","RIGHT","OFFENSIVE","RESTART",2022,0,0.033802027169954,"SIDE","OPPONENT","2022 - OPPONENT 5 - AWAY","GK",-4.26,9.29,0.01,NA
"181",181,6,85,"BLOCKED",22,58.51,"PLAYER 3","HOME","FREEKICK","RIGHTVOLLEY","DOMINANT","OPPONENT 3","","","MIDDLE","MIDDLE","RESTART",2022,0,0.03216267289456,"MIDDLE","TEAM","2022 - OPPONENT 3 - HOME","GK",NA,NA,0.01,NA
"182",182,6,17,"BLOCKED",20.96,37.41,"PLAYER 18","HOME","OPENPLAY","RIGHTVOLLEY","DOMINANT","OPPONENT 1","SHELTON","OTHER","MIDDLE","OFFENSIVE","POOR CLEARANCE",2022,0,0.081342113904577,"MIDDLE","TEAM","2022 - OPPONENT 1 - HOME","GK",NA,NA,0.01,NA
"183",183,6,19,"GOAL",19.01,38.12,"PLAYER 23","AWAY","CORNER","RIGHTVOLLEY","DOMINANT","OPPONENT 5","KING","SHORT PASS","RIGHT","OFFENSIVE","RESTART",2022,1,0.097583801811712,"SIDE","TEAM","2022 - OPPONENT 5 - AWAY","GK",2.03,6.94,0.01,NA
"184",184,6,86,"SAVED",21.42,44.11,"PLAYER 18","HOME","OPENPLAY","LEFTVOLLEY","NONDOMINANT","OPPONENT 10","","","RIGHT","OFFENSIVE","COUNTER",2022,0,0.0699830097518129,"SIDE","TEAM","2022 - OPPONENT 10 - HOME","GK",-6.9,5.08,0.01,NA
"185",185,6,68,"SAVED",99.04,55.09,"PLAYER 16","HOME","OPENPLAY","LEFTVOLLEY","","OPPONENT 1","","LONG BALL","MIDDLE","MIDDLE","LONG BALL",2022,0,0.0423274111470477,"MIDDLE","OPPONENT","2022 - OPPONENT 1 - HOME","GK",7.08,2.55,0.01,NA
